ride_id,ride_name,ride_type,min_height_cm,thrill_level,capacity_per_hour,zone,is_haunted,opened_date,status,avg_wait_minutes
R001,Thunder Dragon,roller_coaster,100,low,370,Adventure Zone,FALSE,25-06-2010,active,28
R002,Shadow Falls,dark_ride,0,medium,591,Horror Quarter,FALSE,16-07-2008,active,33
R003,Blazing Manor,drop_tower,120,high,1020,Splash Valley,FALSE,15-10-2011,active,44
R004,Haunted Drop,water_ride,130,extreme,841,Family Land,FALSE,06-03-2005,maintenance,0
R005,Steel Carousel,carousel,0,low,983,Kids Corner,FALSE,30-04-2023,closed,0
R006,Wild Rockets,kiddie_ride,0,medium,867,Main Street,FALSE,19-09-2011,active,47
R007,Sky Crypt,roller_coaster,80,high,437,Adventure Zone,FALSE,07-12-2010,active,12
R008,Dark Train,dark_ride,0,extreme,409,Horror Quarter,FALSE,26-08-2021,active,40
R009,Rapid River,drop_tower,90,low,578,Splash Valley,FALSE,28-04-2011,maintenance,0
R010,Twisted Comet,water_ride,120,medium,515,Family Land,FALSE,04-02-2021,closed,0
R011,Phantom Tower,carousel,0,high,651,Kids Corner,FALSE,26-07-2009,active,48
R012,Crimson Express,kiddie_ride,0,extreme,949,Main Street,FALSE,03-12-2010,active,37
R013,Electric Quest,roller_coaster,110,low,557,Adventure Zone,FALSE,21-02-2006,active,10
R014,Solar Run,dark_ride,0,medium,949,Horror Quarter,FALSE,02-07-2014,maintenance,0
R015,Frozen Loop,drop_tower,100,high,345,Splash Valley,FALSE,30-01-2005,closed,0
R016,Ancient Spin,water_ride,100,extreme,1089,Family Land,FALSE,08-12-2007,active,45
R017,Mystic Swing,carousel,0,low,568,Kids Corner,FALSE,16-08-2008,active,52
R018,Cosmic Flight,kiddie_ride,0,medium,752,Main Street,FALSE,17-05-2017,active,50
R019,Neon Chase,roller_coaster,110,high,874,Adventure Zone,FALSE,21-03-2005,maintenance,0
R020,Raging Rush,dark_ride,0,extreme,414,Horror Quarter,FALSE,09-09-2006,closed,0
R021,Golden Slide,drop_tower,130,low,452,Splash Valley,FALSE,28-03-2017,active,7
R022,Silver Plunge,water_ride,100,medium,896,Family Land,FALSE,24-05-2017,active,14
R023,Iron Dip,carousel,0,high,740,Kids Corner,FALSE,11-11-2007,active,7
R024,Crystal Jump,kiddie_ride,0,extreme,615,Main Street,FALSE,07-03-2013,maintenance,0
R025,Marble Leap,roller_coaster,80,low,666,Adventure Zone,FALSE,17-09-2009,closed,0
R026,Fire Dash,dark_ride,0,medium,998,Horror Quarter,FALSE,07-08-2010,active,47
R027,Storm Race,drop_tower,80,high,662,Splash Valley,FALSE,01-07-2022,active,40
R028,Venom Ride,water_ride,110,extreme,935,Family Land,FALSE,23-10-2021,active,14
R029,Ghost Trip,carousel,0,low,542,Kids Corner,FALSE,24-08-2008,maintenance,0
R030,Doom Tour,kiddie_ride,0,medium,481,Main Street,FALSE,01-04-2014,closed,0
R031,Epic Escape,roller_coaster,80,high,483,Adventure Zone,FALSE,09-07-2021,active,26
R032,Titan Attack,dark_ride,0,extreme,721,Horror Quarter,FALSE,29-12-2022,active,47
R033,Comet Defense,drop_tower,130,low,554,Splash Valley,FALSE,26-12-2010,active,15
R034,Blaze Strike,water_ride,130,medium,410,Family Land,FALSE,31-07-2013,maintenance,0
R035,Wave Force,carousel,0,high,339,Kids Corner,FALSE,23-07-2015,closed,0
R036,Rush Power,kiddie_ride,0,extreme,527,Main Street,FALSE,23-06-2009,active,57
R037,Fury Wave,roller_coaster,110,low,658,Adventure Zone,FALSE,06-11-2011,active,57
R038,Surge Pulse,dark_ride,0,medium,533,Horror Quarter,FALSE,01-01-2010,active,6
R039,Flash Blast,drop_tower,130,high,497,Splash Valley,FALSE,09-12-2013,maintenance,0
R040,Pulse Surge,water_ride,100,extreme,585,Family Land,FALSE,23-07-2006,closed,0
R041,Echo Venture,carousel,0,low,1091,Kids Corner,FALSE,06-04-2011,active,27
R042,Nova Safari,kiddie_ride,0,medium,956,Main Street,FALSE,05-06-2016,active,30
R043,Orbit Journey,roller_coaster,130,high,849,Adventure Zone,FALSE,05-06-2012,active,6
R044,Apex Voyage,dark_ride,0,extreme,418,Horror Quarter,FALSE,10-11-2010,maintenance,0
R045,Zenith Mission,drop_tower,90,low,894,Splash Valley,FALSE,15-12-2010,closed,0
R046,Helix Challenge,water_ride,80,medium,411,Family Land,FALSE,20-05-2018,active,32
R047,Vortex Trial,carousel,0,high,653,Kids Corner,FALSE,05-05-2021,active,55
R048,Spiral Test,kiddie_ride,0,extreme,621,Main Street,FALSE,15-10-2014,active,43
R049,Surge Quest,roller_coaster,120,low,418,Adventure Zone,FALSE,22-08-2013,maintenance,0
