event_id,event_name,event_start_date,event_end_date,event_type,external_partner,tickets_allocated,tickets_sold,revenue,description
HE001,Halloween Nightmare Fest,07-04-2024,20-04-2024,seasonal,Dark Arts Events Co.,1839,1716,79094.23,Seasonal haunted event: halloween nightmare fest.
HE002,Halloween Horror Special,24-05-2023,29-05-2023,seasonal,Ghostly Productions Inc.,909,673,64347.41,Seasonal haunted event: halloween horror special.
HE003,Halloween Fright Nights,23-12-2024,14-01-2025,special,Horror Haus GmbH,5938,5768,219675.82,Special haunted event: halloween fright nights.
HE004,Halloween Scream Date,01-07-2025,17-07-2025,seasonal,Frightful Experiences Ltd,1834,1531,145445.47,Seasonal haunted event: halloween scream date.
HE005,Halloween Terror Tour,20-04-2025,27-04-2025,seasonal,Nightmare Collective Inc.,3263,2751,295826.85,Seasonal haunted event: halloween terror tour.
HE006,Halloween Ghost Walk,12-03-2023,17-03-2023,special,Spooky Ventures Co.,3980,3740,172451.72,Special haunted event: halloween ghost walk.
HE007,Halloween Death March,07-03-2025,18-03-2025,seasonal,Crypt Keepers LLC,879,797,72498.29,Seasonal haunted event: halloween death march.
HE008,Halloween Horror Gala,29-06-2022,15-07-2022,seasonal,Terror Trail Agency,2791,2498,84528.9,Seasonal haunted event: halloween horror gala.
HE009,Halloween Fear Fest,16-02-2025,17-02-2025,special,Haunted Horizons,3683,2626,164460.68,Special haunted event: halloween fear fest.
HE010,Halloween Dread Night,30-12-2024,02-01-2025,seasonal,Scare Syndicate LLC,3985,3453,383358.29,Seasonal haunted event: halloween dread night.
HE011,Halloween Scare Season,25-05-2025,09-06-2025,seasonal,Dark Arts Events Co.,620,463,19271.25,Seasonal haunted event: halloween scare season.
HE012,Halloween Haunt Week,26-11-2022,20-12-2022,special,Ghostly Productions Inc.,3818,3509,397345.92,Special haunted event: halloween haunt week.
HE013,Halloween Fright Fest,30-12-2022,30-01-2023,seasonal,Horror Haus GmbH,4322,3945,180846.94,Seasonal haunted event: halloween fright fest.
HE014,Halloween Scream Week,13-08-2022,14-08-2022,seasonal,Frightful Experiences Ltd,1602,1446,132378.15,Seasonal haunted event: halloween scream week.
HE015,Halloween Horror Weekend,08-05-2024,11-05-2024,special,Nightmare Collective Inc.,3685,3505,132284.66,Special haunted event: halloween horror weekend.
HE016,Halloween Panic Night,27-09-2023,17-10-2023,seasonal,Spooky Ventures Co.,246,195,11636.19,Seasonal haunted event: halloween panic night.
HE017,Halloween Crypt Tour,07-12-2024,20-12-2024,seasonal,Crypt Keepers LLC,1844,1162,101836.55,Seasonal haunted event: halloween crypt tour.
HE018,Halloween Dark Carnival,26-06-2024,05-07-2024,special,Terror Trail Agency,4668,3627,378158.43,Special haunted event: halloween dark carnival.
HE019,Halloween Horror Maze,16-09-2022,28-09-2022,seasonal,Haunted Horizons,5893,5485,619793.73,Seasonal haunted event: halloween horror maze.
HE020,Halloween Fear Trail,26-09-2022,20-10-2022,seasonal,Scare Syndicate LLC,5112,4662,453379.12,Seasonal haunted event: halloween fear trail.
HE021,Midnight Nightmare Fest,30-05-2025,30-06-2025,special,Dark Arts Events Co.,3544,2380,92066.71,Special haunted event: midnight nightmare fest.
HE022,Midnight Horror Special,22-10-2022,01-11-2022,seasonal,Ghostly Productions Inc.,1626,1156,77323.35,Seasonal haunted event: midnight horror special.
HE023,Midnight Fright Nights,02-03-2023,31-03-2023,seasonal,Horror Haus GmbH,4795,3530,350709.18,Seasonal haunted event: midnight fright nights.
HE024,Midnight Scream Date,25-04-2023,23-05-2023,special,Frightful Experiences Ltd,2310,1506,161455.17,Special haunted event: midnight scream date.
HE025,Midnight Terror Tour,11-01-2024,17-01-2024,seasonal,Nightmare Collective Inc.,5756,3749,281590.97,Seasonal haunted event: midnight terror tour.
HE026,Midnight Ghost Walk,23-01-2022,11-02-2022,seasonal,Spooky Ventures Co.,590,440,21766.36,Seasonal haunted event: midnight ghost walk.
HE027,Midnight Death March,28-03-2024,08-04-2024,special,Crypt Keepers LLC,3471,2872,193187.58,Special haunted event: midnight death march.
HE028,Midnight Horror Gala,30-01-2024,17-02-2024,seasonal,Terror Trail Agency,959,667,72810.49,Seasonal haunted event: midnight horror gala.
HE029,Midnight Fear Fest,03-02-2024,27-02-2024,seasonal,Haunted Horizons,3465,2988,151548.02,Seasonal haunted event: midnight fear fest.
HE030,Midnight Dread Night,02-09-2025,10-09-2025,special,Scare Syndicate LLC,5552,4603,181898.52,Special haunted event: midnight dread night.
HE031,Midnight Scare Season,09-11-2025,03-12-2025,seasonal,Dark Arts Events Co.,2771,2109,208283.56,Seasonal haunted event: midnight scare season.
HE032,Midnight Haunt Week,12-10-2025,04-11-2025,seasonal,Ghostly Productions Inc.,2245,1739,98555.92,Seasonal haunted event: midnight haunt week.
HE033,Midnight Fright Fest,14-06-2022,13-07-2022,special,Horror Haus GmbH,3786,3133,365754.56,Special haunted event: midnight fright fest.
HE034,Midnight Scream Week,09-06-2023,12-06-2023,seasonal,Frightful Experiences Ltd,4321,3192,356382.04,Seasonal haunted event: midnight scream week.
HE035,Midnight Horror Weekend,19-10-2023,14-11-2023,seasonal,Nightmare Collective Inc.,4108,3556,147414.83,Seasonal haunted event: midnight horror weekend.
HE036,Midnight Panic Night,10-06-2023,24-06-2023,special,Spooky Ventures Co.,2582,2387,279589.95,Special haunted event: midnight panic night.
HE037,Midnight Crypt Tour,05-06-2025,11-06-2025,seasonal,Crypt Keepers LLC,2512,1895,172524.25,Seasonal haunted event: midnight crypt tour.
HE038,Midnight Dark Carnival,22-05-2025,19-06-2025,seasonal,Terror Trail Agency,5268,4962,235707.26,Seasonal haunted event: midnight dark carnival.
HE039,Midnight Horror Maze,21-11-2023,20-12-2023,special,Haunted Horizons,1819,1444,43880.3,Special haunted event: midnight horror maze.
HE040,Midnight Fear Trail,29-12-2023,21-01-2024,seasonal,Scare Syndicate LLC,2619,1966,216691.75,Seasonal haunted event: midnight fear trail.
HE041,Winter Nightmare Fest,29-09-2025,05-10-2025,seasonal,Dark Arts Events Co.,5443,4333,386265.25,Seasonal haunted event: winter nightmare fest.
HE042,Winter Horror Special,19-04-2023,03-05-2023,special,Ghostly Productions Inc.,3030,2636,79938.4,Special haunted event: winter horror special.
HE043,Winter Fright Nights,24-10-2024,11-11-2024,seasonal,Horror Haus GmbH,1858,1115,85842.75,Seasonal haunted event: winter fright nights.
HE044,Winter Scream Date,08-10-2025,01-11-2025,seasonal,Frightful Experiences Ltd,1571,1465,147435.32,Seasonal haunted event: winter scream date.
